,message_id,from_id,date,message_text
20,13039,,2024-09-21 16:13:55+00:00,"Kemei® Hair clippers 

 ለልጁ ለአዋቂ የሚሆን የፀጉር ማንሻ

 ቻርጁ ከ 4 ሰአት በላይ መቆየት የሚችል!!
 መብራት ጠፋ ብሎ መጨነቅ ቀረ!
 ለስራዎም ፣ ለቤትም፣ ለልጅ፣ ለአዋቂም
       ይሆናል።
have Digital battery percentage
    indicator                    
Can use in AC + DC mode   

Super sharp cutting blade                    
Professional quality                    
4 sizing comb clips &White color                    
Light weight                    
Easy to carry & cut hair

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   2800

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
22,13037,,2024-09-21 11:59:18+00:00,"ዋው  ለስራ ቢሉ ለቤት ኦርጅናል እቃ
Sokany 
Espresso coffee maker
2,0 L
1560 w


    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦    80 ሺ

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
25,13034,,2024-09-20 10:55:22+00:00,"ተከፈተ   

 ኦርጅናል አረቢያን መጅሊሶች

  በጥራት ፣ በጥንካሬ ፣ በታማኝነት ፣ ቃላችን ጠብቀን  በፈለጉት ሰአት እናስረክባለን 
   ሳይጭበረበሩ ከ TOP አረቢያን መጅሊስ 

 +251930658474

 TOP አረቢያን መጅሊስ  ከ ነጃሺ online shop  ጋር በመተባበር

https://t.me/topArabianMajlis
https://t.me/topArabianMajlis"
29,13030,,2024-09-19 08:20:46+00:00,"  Glass Mug with Straw

 አራት ማዕዘን ቅርፅ ያለው ማግ
 ቀዝቃዛና ትኩስ ነገሮችን ይጠጡበታል
350ml  የሚይዝ

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   950 ብር

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
31,13028,,2024-09-18 13:55:22+00:00,"original chaving dish
የወጥ ማቅረቢያ ቼቪንግ ዲሽ
3 የተለያየ መጠን ያላቸዉ
 ከስር ማሞቂያ የሻማ/አልኮል/ ቦታ ያለዉ
 ጠንካራ፣ የማይለቅ፣ጎልደን ከለር የብረት ማስቀመጫ ያለዉ
በጣም ማራኪና ዉብ እቃ
በነጭና በጥቁር ከለር የቀረበ
ለቤትው ተጨማሪ ድምቀት የሚሆን

         ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   12,800

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
32,13027,,2024-09-18 11:29:35+00:00," በጠየቃችሁን መሰረት ዘመናዊ አጎበር አመጣንላቹ

Two Stands Rail Mosquito Nets in
Visit
Central Division - Home..."
33,13026,,2024-09-18 11:28:09+00:00," በጠየቃችሁን መሰረት ዘመናዊ አጎበር አመጣንላቹ

Two Stands Rail Mosquito Nets in
Visit
Central Division - Home..."
34,13025,,2024-09-18 10:23:43+00:00,"3.6L Glass dispenser jar with Bamboo stand

ለተለያዩ መጠጦች ማቅረቢያ
3.6 ሊትር የመያዝ አቅም ያለው
ማራኪ እና በዉብ ዲዛይን
ለቤትዎ ተጨማሪ ድምቀት የሚሆን
    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦    3200

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/
 "
36,13023,,2024-09-18 08:51:03+00:00,"Saachi 3in1 Blender (2 Big jar)

ሳቺ የጁስ እና የቡና መፍጫ(ባለ 2ቱ ጆግ)
3 attachments 

1⃣glass jar (የብርጭቆ ጆግ)
2⃣plastic jar (የፕላስቲክ ጆክ)
3⃣mill glass (የቡና ትንሻ ግላስ)

4 speed control with pulse function
1.5 litres jar capacity
©Clear glass and plastic container
Metal lined grinding mill
Long-life stainless steel cutting blades
Auto clean system""

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
37,13022,,2024-09-18 08:35:05+00:00,"Shake N Take 3 Juice Smoothie Blender

       quality

 Shake 'n Take Fruit Juice Blender

ቀጥታ በሶኬት ገመድ ተሰክቶ የሚሰራ
 የፍራፍሬ እና ሼክ ጁሶችን ለማዘጋጀት ተመራጥ 
 ለቤትና ለቢሮ አገልግሎት የሚሆን
 ለልጆችዎ ፈጣን ጁስ ለማዘጋጀት
500ml የሚይዙ ጆጎቹ እንደመጠጫ ኮዳ ስለሚያገለግል ያዘጋጁት ጁስ የትም ቦታ ሆነው ለመጎንጨ ይመቻል
 የተለያየ ቀለም አማራጭ ያለው

portable 
Grinder with 2 Jar
mini and convenience 
super powerful blender crushes ice instantly
available in different colors

    
    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
39,13020,,2024-09-18 08:25:27+00:00,"Saachi 3 in 1 ORIGINAL የጁስ+የሽንኩርት+የቡና 600 WATT
1⃣1.6 litre high capacity plastic jar
2⃣2 speed control with pulse
3⃣Full safety switch
4⃣Powerful motor
5⃣Ultra sharp blade
6⃣Rotary switch for easy operate
7⃣Plastic lined grinding mill

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
40,13019,,2024-09-18 07:01:42+00:00," akeL Midi Oven

1⃣ 38 ሊትር የሚይዝ ኦቮን
2⃣ ከቱርክ ሃገር ተመርቶ የመጣ
3⃣ አንድ ክብና አንድ አራት ማዕዘን ፓትራ
4⃣ ታይመር ያለው፤ ጥቁር ቀለም ቅብ
5⃣እያንዳንዳቸው 1000watt ሃይል የሚጠቀሙ የሸክላ ስቶቭ ያለው

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   13,800

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
41,13018,,2024-09-18 06:53:12+00:00,"1⃣ የልብስ የጫማ ማጠቢያ ማሽን
Sanford Mini Washing Machine 4 kg
4 kg  የሚያጥብ
2 kg የመጭመቅ አቅም ያለው
 የህፃናት ዩኒፎርም 
 ቲሸርት ፣ ቁምጣ  
የአራስ ቤት ልብሶች
 ካልሲ ፣ ሸሚዝ
 ጫማ የሚያጥብ
220v በመሆኑ በማንኛውም ሶኬት የሚጠቀሙበት
    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
44,13015,,2024-09-18 06:26:50+00:00," SILVER CREST MULTIFUNCTIONAL KITCHEN MACHINE

1⃣ 3 አይነት አገልግሎት የሚሰጥ
2⃣ አነስተኛ ሊጥ ያሻል ፤ ያቦካል
3⃣ስጋ እና ሽንኩርት አድቅቆ ይፈጫል
3000 watt ሃይል የሚጠቀም ጉልበታም ኦሪጅናል ዕቃ
4⃣7 ሊትር የሚይዝ የብረት ቋት
5⃣ ባለ አምስት ምላጭ ስጋና ሽንኩርት መፍጪያ
6⃣ መለኪያ እና መቀበያ ኩባያዎች አሉት
7⃣ ፊውዝ ያለው ባለ 3 ሶኬት

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   4700 birr

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
45,13014,,2024-09-17 20:20:27+00:00,"4 IN 1 HAND BLENDER

 የህፃናት  ምግብ ለማዘጋጀት የሚፈለግ
 ጁስ፣ሽንኩርት፣ ስጋ እና አትክልቶችን ይፈጩበታል
 እንቁላልና ክሬም ይመቱበታል
 300Watt ጉልበት ያለው

 ዋጋ፦  3100  ብር

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
48,13011,,2024-09-16 19:57:07+00:00,"የሚፈልጉትን  እቃ ይዘዙን

__ቤቶ ድረስ በነፃ እናመጣለን
ታማኝነታችን ለ ህዝባችን__
ጥራት፣ ምቹ ፣ቀልጣፍ ፣ ታማኝነት ከ ነጃሺ online shop ያገኛሉ

ለወዳጅ ዘመዶ ነጃሺን ያስተዋውቁልን ስላደረጋቹልን ሁሉ  ነገር እናመሰግናለን
 nejashi online shop 
https://t.me/nejashionlinemarketing
https://t.me/nejashionlinemarketing
ሀሳብ ፣ አስተያየት እንቀበላለን @abdulihake"
50,13009,,2024-09-16 12:37:15+00:00," ለልጆት ለ ት/ቤት መብራት ጠፍ አልጠፍ ብለው ሳይሳቀቁ ፈጣን እና አስተማማኝ የሆነውን ስሊንደር ይጠቀሙ

 ሲሊንደር

እኛም ነጃሺዎች ይህን በማሰብ ሲሊንደር አዘጋጅተናል

በ 2 ኬጂ   3500 ብር
በ 3 ኬጂ   4200 ብር
በ 4 ኬጂ   4800  ብር
በ 6 ኬጂ   5800 ብር

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
52,13007,,2024-09-14 12:01:07+00:00,"    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
53,13006,,2024-09-14 12:00:20+00:00,"Minda air fryer(ሚንዳ ያለዘይት መጥበሻ )
6 ሊትር
ከ80% በላይ የዘይት ፍጆታ የሚቀንስ ለጤና ተመራጭ
ከ50 % በላይ ጊዜና ኤሌክትሪክ ቆጣቢቺፕስ ፣ሰቴክ ፣ ቺክን ማንኛውንም ነገር ያለዘይት ተፈጥሯዊ ጣዕሙን ሳይለውጥ መጥበስ የሚያስችል 
 ኬክ መስራት የሚያስችል

6 ሊትር   8500
10 ሊትር   10,500

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   29,500 birr

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
54,13005,,2024-09-13 18:47:40+00:00,"2in1 dumpling maker

2in1 dumpling maker 

ሳምቡሳን በቀላሉ ለመስራት

ዋጋ፦    800 ብር"
57,13002,,2024-09-13 18:39:33+00:00,"ኤልጂ  ማይክሮ ዌቭ

LG microwave

25 L

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   29,500 birr

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
58,13001,,2024-09-12 11:18:11+00:00," ኢኮሳን የዳቦ ምጣድ ገብቷል

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦  

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
59,13000,,2024-09-10 07:17:44+00:00,Baby Food Grinder Machine
60,12999,,2024-09-10 07:17:43+00:00,Baby Food Grinder Machine
61,12998,,2024-09-10 07:17:42+00:00," Baby Food Grinder Machine 

 Powerful function features steam, agitation, heating and electronic health
 Save time and energy, it only take you 15 minutes
 Convenient for use. It's no noise, simple, cooking and storing food in one hand
#Function: Juicing, stirring, making milkshake, crushing ice, mixing

#Specification:
#Color: Light Green, Light Pink
Power: 220V/50Hz
Heating power: 300W
Mixing power: 120W
Capacity: 190ml
Use time: 10-15 minutes


                 ዋጋ፦ 7,100


ለልጆ የሚፈልጉት እቃ እኛ ዘንድ ያገኛሉ ይጠይቁ 

 የሚፈልጉት እቃ ቤቶ ድረስ በነፃ ትራንስፓርት  እናደርሳለን

ውስን ፍሬ ነው ያለው 

+251945540673


 ቤቢ  KIDS የልጆች እና የእናቶች እቃ
ጆይን ብለው ይግቡ ይከታተሉ ይግዙ ይሸምቱ ይደሰቱ ለወዳጅ ዘመዶ ሼር ያርጉ

https://t.me/babysmllekids
https://t.me/babysmllekids"
62,12997,,2024-09-09 10:19:17+00:00,"ዘመናዊ የከሰል ምድጃ

 ከሰል በአግባቡ የሚቆጥብ

 የአመድ ማውጫ ያለው

 ሙሉ ለሙሉ ከአልሚኒየም የተሰራ


    ዋጋ፦   4500


 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
